6709,7668,-8959,-9748,6605,539,1863,-1154,41,-662,-231,576,161,365,308,311
6726,8059,-8764,-10018,6463,483,1878,-1142,51,-659,-246,567,210,341,434,268
6757,8357,-8882,-10190,6699,433,1891,-1126,74,-659,-278,555,305,290,672,242
6775,8233,-8000,-9888,5889,376,1842,-1125,88,-652,-298,543,310,278,695,263
6792,8659,-7593,-10124,5550,313,1854,-1100,98,-645,-315,532,299,244,685,251
6813,9986,-6926,-11126,4893,161,1873,-1063,98,-645,-315,532,318,228,681,193
6831,10022,-5543,-10700,3789,71,1818,-1020,144,-616,-367,494,543,218,963,172
6848,9121,-4759,-9535,3304,68,1759,-1020,160,-609,-396,483,602,171,859,143
6866,8736,-4940,-9347,3310,54,1758,-1039,181,-596,-424,466,513,147,691,115
6883,9098,-4711,-9625,3042,-19,1760,-1003,201,-582,-443,450,456,111,593,125
